date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2012-04-18|1.596235|1.719718|-0.123483|425|319
2012-04-19|1.658109|1.757118|-0.099009|386|288
2012-04-20|1.618188|1.868957|-0.250768|552|460
2012-04-21|1.639863|1.558033|0.08183|73|61
2012-04-22|1.650093|1.694821|-0.044729|108|56
2012-04-23|1.624433|1.662799|-0.038366|467|268
2012-04-24|1.70376|1.706944|-0.003184|1181|674
2012-04-25|1.682205|1.685757|-0.003552|644|436
2012-04-26|1.652214|1.820033|-0.167819|411|304
2012-04-27|1.658804|1.694676|-0.035872|301|216
2012-04-28|1.81875|2.011176|-0.192426|40|17
2012-04-29|1.8575|2.025556|-0.168056|20|9
2012-04-30|1.495455|1.703111|-0.207657|319|315
2012-05-01|1.605013|1.741855|-0.136842|381|345
2012-05-02|1.63149|1.644515|-0.013025|349|237
2012-05-03|1.556225|1.761636|-0.205411|302|269
2012-05-04|1.479651|1.791317|-0.311667|372|334
2012-05-05|1.728889|1.783077|-0.054188|45|13
2012-05-06|1.679412|1.715|-0.035588|34|30
2012-05-07|1.593199|1.827536|-0.234337|347|280
2012-05-08|1.539172|1.706929|-0.167757|326|254
2012-05-09|1.532695|1.847183|-0.314488|308|284
2012-05-10|1.530162|1.769289|-0.239127|308|225
2012-05-11|1.608777|1.696301|-0.087524|229|219
2012-05-12|1.461538|1.911429|-0.44989|26|14
2012-05-13|1.578182|1.551053|0.027129|22|19
2012-05-14|1.540142|1.811|-0.270858|212|180
2012-05-15|1.562034|1.698453|-0.136418|290|265
2012-05-16|1.518103|1.756625|-0.238522|390|320
2012-05-17|1.554437|1.826446|-0.272009|426|408
2012-05-18|1.608009|1.821203|-0.213193|442|316
2012-05-19|1.403902|1.646154|-0.242251|41|13
2012-05-20|1.476818|1.943333|-0.466515|22|12
2012-05-21|1.621448|1.552095|0.069352|525|315
2012-05-22|1.558756|1.744644|-0.185888|402|379
2012-05-23|1.649087|1.773591|-0.124505|657|504
2012-05-24|1.633265|1.760679|-0.127414|490|383
2012-05-25|1.560478|1.772474|-0.211996|251|190
2012-05-26|1.433793|1.612|-0.178207|29|10
2012-05-27|1.308667|1.934|-0.625333|15|10
2012-05-28|2.068|1.26|0.808|25|5
2012-05-29|1.651513|1.710744|-0.059231|238|121
2012-05-30|1.750251|1.679657|0.070594|398|204
2012-05-31|1.635394|1.769394|-0.134|343|198
2012-06-01|1.684495|1.7901|-0.105605|287|200
2012-06-02|1.5336|1.916364|-0.382764|25|11
2012-06-03|1.927273|1.77|0.157273|22|21
2012-06-04|1.581444|1.775022|-0.193578|277|223
2012-06-05|1.575901|1.835959|-0.260058|222|146
2012-06-06|1.586754|1.777881|-0.191126|228|151
2012-06-07|1.592857|1.8262|-0.233343|175|150
2012-06-08|1.688769|1.893092|-0.204323|268|207
2012-06-09|1.748788|1.92|-0.171212|33|19
2012-06-10|1.608684|2.128182|-0.519498|38|11
2012-06-11|1.626045|1.890399|-0.264354|354|326
2012-06-12|1.583239|1.842857|-0.259618|213|189
2012-06-13|1.542268|1.851429|-0.309161|194|182
2012-06-14|1.442488|1.796629|-0.354141|217|267
2012-06-15|1.574255|1.852296|-0.278041|188|135
2012-06-16|1.484737|1.315|0.169737|19|6
2012-06-17|1.646842|2.003333|-0.356491|19|12
2012-06-18|1.782329|1.764551|0.017777|292|156
2012-06-19|1.691364|1.723832|-0.032469|198|167
2012-06-20|1.616598|1.863692|-0.247094|244|195
2012-06-21|1.641394|1.712423|-0.071028|208|194
2012-06-22|1.657183|1.631913|0.02527|213|115
2012-06-23|1.716316|1.63875|0.077566|19|8
2012-06-24|1.949615|1.798333|0.151282|26|6
2012-06-25|1.555808|1.827584|-0.271776|167|149
2012-06-26|1.639375|1.75193|-0.112555|208|171
